ID,State,County,obesity_percent,poverty_percent,,
392,Georgia,Baldwin County,36.8,31.4,,
393,Georgia,Banks County,27,16.6,,
394,Georgia,Barrow County,34.6,15.2,,
395,Georgia,Bartow County,35.2,15.8,,
396,Georgia,Ben Hill County,35.3,35.3,,
397,Georgia,Berrien County,34.7,26.2,,
398,Georgia,Bibb County,31.3,27.4,,
399,Georgia,Bleckley County,30.4,23.5,,
400,Georgia,Brantley County,33.1,21,,
401,Georgia,Brooks County,33.5,27.6,,
402,Georgia,Bryan County,29.3,13.6,,
403,Georgia,Bulloch County,33.5,32.9,,
404,Georgia,Burke County,32,31.4,,
405,Georgia,Butts County,28.7,20.8,,
406,Georgia,Calhoun County,34.4,41.6,,
407,Georgia,Camden County,31.5,12.8,,
408,Georgia,Candler County,30.3,31.8,,
409,Georgia,Carroll County,31.7,20.7,,
410,Georgia,Catoosa County,27.8,12.5,,
411,Georgia,Charlton County,32,17.2,,
412,Georgia,Chatham County,31.3,19.1,,
413,Georgia,Chattahoochee County,27.3,11.5,,
414,Georgia,Chattooga County,34,23.7,,
415,Georgia,Cherokee County,26.9,10.8,,
416,Georgia,Clarke County,25.3,36.6,,
417,Georgia,Clay County,29.8,42.2,,
418,Georgia,Clayton County,38,25.1,,
419,Georgia,Clinch County,29.6,35,,
420,Georgia,Cobb County,22.9,12.4,,
421,Georgia,Coffee County,34.8,25.5,,
422,Georgia,Colquitt County,35.2,26.8,,
423,Georgia,Columbia County,30.3,9.2,,
424,Georgia,Cook County,31.4,25.1,,
425,Georgia,Coweta County,26.8,13.2,,
426,Georgia,Crawford County,27.3,17.2,,
427,Georgia,Crisp County,31.1,32.8,,
428,Georgia,Dade County,32.3,15.2,,
429,Georgia,Dawson County,27.7,14.2,,
430,Georgia,Decatur County,30,28.4,,
431,Georgia,DeKalb County,27.3,19.3,,
432,Georgia,Dodge County,28.5,22.5,,
433,Georgia,Dooly County,34.7,29.2,,
434,Georgia,Dougherty County,34.4,30.7,,
435,Georgia,Douglas County,32.3,16.4,,
436,Georgia,Early County,31.5,28,,
437,Georgia,Echols County,28.3,29,,
438,Georgia,Effingham County,35.2,10.6,,
439,Georgia,Elbert County,31.1,19,,
440,Georgia,Emanuel County,36.3,30.6,,
441,Georgia,Evans County,33.5,27.7,,
