State,County,percent
Georgia,Turner County,34.6
Georgia,Twiggs County,32.8
Georgia,Union County,27.2
Georgia,Upson County,32
Georgia,Walker County,32.1
Georgia,Walton County,34.4
Georgia,Ware County,35.5
Georgia,Warren County,32
Georgia,Washington County,32.2
Georgia,Wayne County,31.8
Georgia,Webster County,32.1
Georgia,Wheeler County,31.9
Georgia,White County,28.6
Georgia,Whitfield County,33.5
Georgia,Wilcox County,31.5
Georgia,Wilkes County,32.9
Georgia,Wilkinson County,34.5
Georgia,Worth County,36.7
Hawaii,Hawaii County,22.7
Hawaii,Honolulu County,22.3
Hawaii,Kalawao County,21.5
Hawaii,Kauai County,20.6
Hawaii,Maui County,22.4
Idaho,Ada County,25.4
Idaho,Adams County,27.6
Idaho,Bannock County,28.1
Idaho,Bear Lake County,28.7
Idaho,Benewah County,30.1
Idaho,Bingham County,33.3
Idaho,Blaine County,19.2
Idaho,Boise County,22.4
Idaho,Bonner County,24.7
Idaho,Bonneville County,29.4
Idaho,Boundary County,27.3
Idaho,Butte County,28.5
Idaho,Camas County,25.7
Idaho,Canyon County,33.4
Idaho,Caribou County,27.5
Idaho,Cassia County,30.5
Idaho,Clark County,31.4
Idaho,Clearwater County,30.6
Idaho,Custer County,26.3
Idaho,Elmore County,29.8
Idaho,Franklin County,30.7
Idaho,Fremont County,28.9
Idaho,Gem County,28.5
Idaho,Gooding County,30
Idaho,Idaho County,25.7
Idaho,Jefferson County,32.7
Idaho,Jerome County,33.3
Idaho,Kootenai County,25
Idaho,Latah County,24.3
Idaho,Lemhi County,26.8
Idaho,Lewis County,29.7
Idaho,Lincoln County,32.3
Idaho,Madison County,24.5
Idaho,Minidoka County,34.2
Idaho,Nez Perce County,30.9
Idaho,Oneida County,31.3
Idaho,Owyhee County,30.4
Idaho,Payette County,33.3
Idaho,Power County,32.1
Idaho,Shoshone County,31.1
Idaho,Teton County,24.1
Idaho,Twin Falls County,27.6
Idaho,Valley County,24.1
Idaho,Washington County,30.3
Illinois,Adams County,37
Illinois,Alexander County,28.4
Illinois,Bond County,29.6
Illinois,Boone County,33.7
Illinois,Brown County,27.6
Illinois,Bureau County,29.1
Illinois,Calhoun County,29.1
Illinois,Carroll County,28.6
Illinois,Cass County,28
Illinois,Champaign County,25.1
Illinois,Christian County,31.7
Illinois,Clark County,32.7
Illinois,Clay County,31
Illinois,Clinton County,29.5
Illinois,Coles County,26.3
Illinois,Cook County,25.3
Illinois,Crawford County,31.3
Illinois,Cumberland County,27.8
Illinois,DeKalb County,28.3
Illinois,De Witt County,30.5
Illinois,Douglas County,30.5
Illinois,DuPage County,23
Illinois,Edgar County,30.3
Illinois,Edwards County,31.3
Illinois,Effingham County,31.8
Illinois,Fayette County,33
Illinois,Ford County,28.2
Illinois,Franklin County,30.2
Illinois,Fulton County,30.7
Illinois,Gallatin County,28.4
Illinois,Greene County,28.7
Illinois,Grundy County,30.4
Illinois,Hamilton County,28.2
Illinois,Hancock County,28.6
Illinois,Hardin County,30.6
Illinois,Henderson County,30.4
Illinois,Henry County,30.5
Illinois,Iroquois County,33.9
Illinois,Jackson County,31.5
Illinois,Jasper County,30.2
Illinois,Jefferson County,30.2
Illinois,Jersey County,33
Illinois,Jo Daviess County,29.5
Illinois,Johnson County,29.4
Illinois,Kane County,25.3
Illinois,Kankakee County,30.1
Illinois,Kendall County,33.7
Illinois,Knox County,26.2
Illinois,Lake County,28.4
Illinois,LaSalle County,27.1
Illinois,Lawrence County,28.9
Illinois,Lee County,32.6
Illinois,Livingston County,29.2
Illinois,Logan County,29.2
Illinois,McDonough County,26.8
